Author:,Author:
Version:,Version:
"User Guide:","User Guide:"
"Click Here","Click Here"
"Store Extension:","Store Extension:"
Ticket/Customisations:,Ticket/Customisations:
Services:,Services:
"Something Went Wrong !!!","Something Went Wrong !!!"
"At a time you can checkout with products single attribute value type. ","At a time you can checkout with products single attribute value type. "
"Remaining other products will be saved into your cart.","Remaining other products will be saved into your cart."
"Invalid checkout","Invalid checkout"
"attr_detail' 'label","attr_detail' 'label"
"attr_detail' 'value","attr_detail' 'value"
"Shopping Cart Items","Shopping Cart Items"
Item,Item
Price,Price
Qty,Qty
Subtotal,Subtotal
"Continue Shopping","Continue Shopping"
"Update Shopping Cart","Update Shopping Cart"
Summary,Summary
Total,Total
"Order Total","Order Total"
"Go to Checkout","Go to Checkout"
"Check Out with Multiple Addresses","Check Out with Multiple Addresses"
Webkul,Webkul
"Attribute Base Splitcart","Attribute Base Splitcart"
"General Settings","General Settings"
Active,Active
"Split by attribute","Split by attribute"
"Show Product Information","Show Product Information"
